awk	gawk
bash	bash
bzip2	bzip2
coreutils	coreutils
curl	curl
dnsutils	dnsutils
emacs	emacs-nox
file	file
findutils	findutils
gettext	gettext
gnupg	gnupg2
grep	grep
gzip	gzip
jq	jq
less	less
links	elinks
lynx	lynx
mtr	mtr
nano	nano
netcat	netcat
openjdk8	java-1.8.0-openjdk-headless
openjdk8-jre	java-1.8.0-openjdk-devel
openssh-client	openssh-clients
openssh-server	openssh-server
pdsh	pdsh
ping	iputils
pkzip	unzip zip
python2	python
python3	rh-python36
rsync	rsync
sed	sed
tar	tar
tcpdump	tcpdump
traceroute	traceroute
vim	vim-minimal
wget	wget
which	which
