awk	mawk
bash	bash
bzip2	bzip2
coreutils	coreutils
curl	curl
dnsutils	dnsutils
emacs	emacs-nox
file	file
findutils	findutils
gettext	gettext
gnupg	gnupg
grep	grep
gzip	gzip
jq	jq
less	less
links	links
lynx	lynx
mtr	mtr
nano	nano
netcat	netcat
openjdk8	FIXME
openjdk8-jre	FIXME
openssh-client	openssh-client
openssh-server	openssh-server
pdsh	pdsh
ping	iputils-ping
pkzip	unzip zip
python2	python2.7
python3	python3
rsync	rsync
sed	sed
tar	tar
tcpdump	tcpdump
traceroute	traceroute
tzdata	tzdata
vim	vim
wget	wget
which	debianutils
